undefined
Parametric model
ID,distance F1,distance F2,c_1 ,c_2 ,c_3 ,c_4 ,c_5 ,c_6 ,c_7 ,c_8 ,c_9 ,c_10 ,c_11 ,c_12 ,c_13 ,c_14 ,c_15 ,c_16 ,c_17 ,c_18 ,c_19 ,slope, intercept, r2, rmsre, steyx, LOD, mErr%, LOD%, exp
15,15000,21000,12.046617263759455,19.204664718348248,27.747524547248588,34.66488609692483,39.41697730573014,46.83458220411798,51.93843434812206,58.415363095070724,63.49817100369382,64.02664132525193,67.26820003584268,69.81295576021145,71.23737776479818,75.20595813166906,81.9608607560578,83.53110163246099,72.22161968680994,55.718314841888656,51.42471894474978,0.06721601892338079,49.537399910705204,0.10086251854284864,0.355916973954205,20.12724519699094,988.1559517201074,-68.14762741851894,286.8626609402989,-0.0678333333333335
16,15500,14600,279.70737575189355,621.5945842271659,1308.745624427999,1294.3408723306156,1804.801559842714,1682.5203388973628,2033.9935384328817,2400.8009862556046,2758.0784529147145,2928.50275488731,2793.2308521586065,2792.3526924695852,3352.003783293974,3294.6475340782267,3521.29663834771,3031.7815834604685,2959.982595330045,1961.4728333414816,1573.5244645886598,1.4156278479456796,2114.8809511308687,0.021685507479933062,0.4098090796083337,953.601553815499,2222.9607394046534,-81.26273934815906,645.3277256099103,-6.658888888888891
17,15500,15000,182.0231662570196,520.9159373552242,1156.9994960250565,1165.6589126679369,1799.8837636292124,1355.3240418422706,1894.2154382728663,2264.3042981700114,2667.1916492180085,2825.9766042088677,2535.236530654197,2895.024737101861,2990.067331579837,2885.979480374668,3292.326805915823,3191.0190561358813,2885.979480374668,2270.3776525244616,1652.6509156523018,2.457588531652601,1925.9679496249341,0.06806661104302443,0.416828576148493,912.0065292672597,1224.623857012444,-69.46599145644544,355.5095303145695,-11.185999999999991
18,15500,16000,111.82433484968176,378.04182988831303,444.57464859019154,603.8292437981297,715.9556493443578,897.5533533659373,971.5870033593259,1092.1712376389091,1094.1341713673055,1316.5187310423687,1420.5505241574933,1469.6306965945153,1525.5186854608066,1567.7164849704602,1985.3609931805154,2358.875322230872,2213.7208525911815,1998.1667784141434,1936.201982848118,4.863460056232124,868.7981666098766,0.5293887255667776,0.3750027756425725,459.88852902306,312.04782772532025,-34.149334399501775,90.58779643648819,9.185999999999991
19,15500,17000,78.91479669569702,157.55912293138007,237.49802555723195,298.96793846267764,364.24468661201166,428.0488591626289,478.23444546813914,533.629043948746,571.5522819729433,651.6039203384682,699.2578394158002,744.4160950314139,782.4290307492344,808.2135669463994,1013.6738952867859,1233.7726371951371,1364.0220319957514,1415.2620860779787,1415.1999447774751,3.8491183374660047,382.40665493626943,0.790466401231841,0.3282489864370164,198.7512166535166,170.39720721820945,-22.385050938091933,49.46647965265342,2.3953333333333306
20,15500,18000,33.626287783730746,63.74160523914903,93.29054566368444,118.20880954252492,143.55230049227123,164.63626321632003,188.51905768535718,211.2289606677751,227.33478295228562,247.9459361759921,263.743760505671,278.3614650160956,291.4007144353674,306.34327299392385,373.52824268229193,438.59192407114347,474.52862444185945,469.55193796317604,461.96632133247755,1.2042123413504056,156.29503992659374,0.713385733241835,0.3318203492095522,76.55140572015647,209.7799783327484,-27.366883017614807,60.89933748997519,1.0372000000000012
21,15500,19000,19.49042037248769,34.31093738795936,51.14868433597607,63.872103575056045,76.1792659047359,86.79326661893823,99.13460783580905,112.64115805475855,121.06978571901506,128.6578933402535,134.49934901350215,141.32230521089824,147.01107018406142,154.18884635628285,179.93804927466434,199.2700712098206,198.28912281986626,177.5750751025101,169.38219130438986,0.3840159588584024,89.21556943036798,0.47367080023185565,0.347804448446122,40.59785637175258,348.87332918417366,-40.2783520568405,101.2782763354948,0.4551428571428574
22,15500,20000,15.364753165025503,26.231508910553313,39.329779562227245,48.51524906520556,57.12540192206848,65.10014181357823,73.97496533565119,83.98273462641954,91.13445396637965,94.17520957022411,97.9319662490464,102.69638765810562,105.63791041072314,110.64869359984885,124.15349617477759,130.4792536256133,119.62841873111964,98.19276321231675,90.70516262313951,0.1617412510462294,69.60176353679601,0.2279425997567231,0.3579186420928936,29.85356830469611,609.1011091372031,-55.540657305187516,176.8226610836392,0.13177777777777772
23,15500,21000,15.314384444919254,25.657552446371337,38.486328669557004,47.17306971328886,55.05607592888258,62.88522688925118,71.13218214634736,80.40948220982338,88.06682892213944,89.0744499928815,92.28419032846654,96.56872391806994,98.59306726758014,103.28253037319166,112.83364679449627,114.24100206816273,98.8196260620672,76.08278292433023,68.69128136374255,0.08876922517696176,68.21213826333744,0.09130425601681506,0.3618158729324457,28.085979153046345,1044.0975576872231,-69.0472805166039,303.10256509415854,-0.07400000000000018
24,16000,14600,312.21389879480694,937.4523001718833,1520.3725632701428,1721.3679840045982,2271.1870042246533,2402.662797559425,2764.2695836913845,3201.4654556620776,3437.450845982869,3957.1501242339236,3978.2301438769173,4015.555311606206,4589.962056049439,4565.069312176803,5342.276842851746,5327.5334283555685,5196.230946260143,3960.8087899131424,3445.786998982981,6.9937057162633485,2738.194347587425,0.21255660120519917,0.40290582499874533,1350.0291090354544,637.0150876461674,-53.196541237511184,184.92611695877005,-4.280714285714285
25,16000,15000,220.94415683068243,799.331466420265,1225.1852677214388,1464.9749577839773,1987.4538891747911,1971.2808924037174,2400.391217412596,2778.25206463775,2962.0883620636187,3467.6985179992794,3441.087451393943,3730.4692550080263,3873.9707188077837,3842.48488212258,4759.646267350547,5273.166803739379,4922.284690592309,4272.594721141359,3637.5620342978987,8.733235545570917,2283.8456997891726,0.3527457826007695,0.39897535769255393,1186.4381614076945,448.3156227969848,-43.1550715630868,130.1464736135875,-5.5929999999999955
26,16000,15500,173.17585880918634,680.9465370772177,759.4645870537745,1054.3906055607645,1253.481393961051,1604.19470346224,1719.1279115153754,1929.521481134948,1897.169741667059,2366.849116207466,2575.815843755399,2657.9171100121953,2767.098478315468,2832.0395272999526,3696.09351690511,4533.768116746424,4311.034882917512,4008.28427525312,3937.269788524464,10.390333980217884,1501.6906990873513,0.604878120610807,0.3750830526382438,842.2179885570514,267.49085905513766,-29.55589768573016,77.65286387456551,-10.185999999999991
